fighter_name,Weight,Height
Chris Wilson,170 lbs.,"6' 1"""
Chris Wright,,
Chris Yee,185 lbs.,"5' 9"""
Chris de la Rocha,250 lbs.,"6' 3"""
Christian Colombo,265 lbs.,"6' 5"""
Christian Lohsen,155 lbs.,"6' 2"""
Christian Morecraft,260 lbs.,"6' 6"""
Christian Ocon,135 lbs.,"5' 8"""
Christian Uflacker,170 lbs.,"5' 11"""
Christian Wellisch,234 lbs.,"6' 2"""
Christina Marks,125 lbs.,"5' 7"""
Christophe Leninger,200 lbs.,"6' 0"""
Christopher Lopez,170 lbs.,"5' 10"""
Christos Giagos,155 lbs.,"5' 10"""
Chuck Grigsby,205 lbs.,"6' 6"""
Chuck Liddell,205 lbs.,"6' 2"""
Chuck O'Neil,170 lbs.,"6' 2"""
Cindy Dandois,135 lbs.,"5' 7"""
Ciryl Gane,265 lbs.,"6' 5"""
Claude Patrick,170 lbs.,"5' 11"""
Claudia Gadelha,115 lbs.,"5' 4"""
Claudio Mattos,185 lbs.,
Claudio Puelles,155 lbs.,"5' 11"""
Claudio Silva,170 lbs.,"5' 11"""
Claudionor Fontinelle,185 lbs.,"5' 5"""
Clay Collard,145 lbs.,"5' 11"""
Clay French,161 lbs.,"5' 7"""
Clay Guida,155 lbs.,"5' 7"""
Clay Harvison,170 lbs.,"6' 1"""
Clay Mitchell,185 lbs.,"6' 2"""
Clayton MacFarlane,170 lbs.,
Cleber Luciano,155 lbs.,"5' 6"""
Clifford Starks,185 lbs.,"6' 0"""
Clint Coronel,155 lbs.,
Clint Godfrey,135 lbs.,"5' 6"""
Clint Hester,205 lbs.,"6' 2"""
Codale Ford,170 lbs.,"5' 9"""
Cody Canterbury,155 lbs.,"5' 8"""
Cody Carrillo,155 lbs.,"5' 10"""
Cody Donovan,205 lbs.,"6' 3"""
Cody East,245 lbs.,"6' 3"""
Cody Floyd,,
Cody Garbrandt,135 lbs.,"5' 8"""
Cody Gibson,135 lbs.,"5' 10"""
Cody McKenzie,155 lbs.,"6' 0"""
Cody Pfister,155 lbs.,"5' 10"""
Cody Sons,205 lbs.,"5' 9"""
Cody Stamann,135 lbs.,"5' 6"""
Colby Covington,170 lbs.,"5' 11"""
Cole Escovedo,135 lbs.,"5' 7"""
Cole Miller,145 lbs.,"6' 1"""
Cole Province,145 lbs.,"5' 9"""
Cole Smith,135 lbs.,"5' 11"""
Colin Fletcher,155 lbs.,"6' 2"""
Colin Robinson,243 lbs.,"6' 4"""
Colleen Schneider,135 lbs.,
Colley  Bradford,145 lbs.,"5' 7"""
Collin Hart,185 lbs.,"6' 1"""
Coltin Cole,185 lbs.,
Colton Smith,155 lbs.,"6' 0"""
Conor Heun,155 lbs.,"5' 10"""
Conor McGregor,155 lbs.,"5' 9"""
Corey Anderson,205 lbs.,"6' 3"""
Corey Hill,155 lbs.,"6' 4"""
Cortez Coleman,185 lbs.,"6' 1"""
Cortney Casey,115 lbs.,"5' 7"""
Cory Devela,185 lbs.,"5' 0"""
Cory Hendricks,205 lbs.,"6' 3"""
Cory Peterson,400 lbs.,"6' 11"""
Cory Sandhagen,135 lbs.,"5' 11"""
Cory Walmsley,205 lbs.,"6' 0"""
Costas Philippou,185 lbs.,"5' 11"""
Coty Wheeler,135 lbs.,"5' 6"""
Court McGee,170 lbs.,"5' 11"""
Courtney Buck,135 lbs.,"5' 10"""
Courtney Turner,170 lbs.,"6' 2"""
Crafton Wallace,185 lbs.,"6' 0"""
Craig Oxley,155 lbs.,"5' 9"""
Craig White,170 lbs.,"6' 2"""
Craig Zellner,205 lbs.,"6' 2"""
Crezio de Souza,170 lbs.,
Cris Cyborg,145 lbs.,"5' 8"""
Cristiano Marcello,155 lbs.,"5' 9"""
Cristina Stanciu,115 lbs.,"5' 3"""
Crosley Gracie,190 lbs.,"5' 9"""
Cub Swanson,145 lbs.,"5' 8"""
Cung Le,185 lbs.,"5' 9"""
Curt Warburton,155 lbs.,"6' 0"""
Curtis Blaydes,265 lbs.,"6' 4"""
Curtis Millender,170 lbs.,"6' 2"""
Curtis Stout,185 lbs.,"6' 1"""
Cynthia Calvillo,115 lbs.,"5' 4"""
Cyril Asker,247 lbs.,"6' 0"""
Cyrille Diabate,205 lbs.,"6' 6"""
Cyrillo Padilha,155 lbs.,"5' 11"""
Da Un Jung,205 lbs.,"6' 3"""
DaMarques Johnson,170 lbs.,"6' 1"""
Dae Won Kim,180 lbs.,"5' 11"""
Daichi Abe,170 lbs.,"5' 11"""
Daijiro Matsui,200 lbs.,"5' 9"""
Daiju Takase,170 lbs.,"6' 0"""
Daiki Hata,139 lbs.,"5' 6"""
Daisuke Nakamura,154 lbs.,"5' 7"""
Daisuke Sugie,160 lbs.,"5' 6"""
Dakota Cochrane,155 lbs.,"5' 8"""
Dalcha Lungiambula,205 lbs.,"5' 10"""
Dale Hartt,155 lbs.,"5' 10"""
Damacio Page,135 lbs.,"5' 6"""
Damian Grabowski,241 lbs.,"6' 1"""
Damian Stasiak,135 lbs.,"5' 5"""
Damien Brown,155 lbs.,"5' 10"""
Damien Trites,165 lbs.,"5' 11"""
Damion Douglas,170 lbs.,
Damir Hadzovic,155 lbs.,"5' 9"""
Damir Ismagulov,155 lbs.,"5' 10"""
Damir Mirenic,185 lbs.,"6' 0"""
Damon Jackson,145 lbs.,"5' 11"""
Dan Barrera,170 lbs.,"5' 9"""
Dan Bobish,345 lbs.,"6' 2"""
Dan Charles,228 lbs.,"6' 2"""
Dan Christison,265 lbs.,"6' 8"""
Dan Cramer,170 lbs.,"6' 2"""
Dan Evensen,250 lbs.,"6' 3"""
Dan Hardy,170 lbs.,"6' 0"""
Dan Henderson,185 lbs.,"5' 11"""
Dan Hooker,155 lbs.,"6' 0"""
Dan Ige,145 lbs.,"5' 7"""
Dan Lauzon,155 lbs.,"5' 10"""
Dan Miller,185 lbs.,"6' 1"""
Dan Moret,155 lbs.,"6' 0"""
Dan O'Connor,115 lbs.,"5' 4"""
Dan Severn,250 lbs.,"6' 2"""
Dan Stittgen,170 lbs.,"6' 1"""
Daniel Acacio,180 lbs.,"5' 8"""
Daniel Cormier,235 lbs.,"5' 11"""
Daniel Gallemore,265 lbs.,"6' 5"""
Daniel Gracie,225 lbs.,"6' 2"""
Daniel Jolly,205 lbs.,"6' 1"""
Daniel Kelly,185 lbs.,"6' 0"""
Daniel McWilliams,185 lbs.,"6' 1"""
Daniel Omielanczuk,247 lbs.,"6' 0"""
Daniel Pineda,145 lbs.,"5' 7"""
Daniel Puder,235 lbs.,"6' 3"""
Daniel Roberts,170 lbs.,"5' 10"""
Daniel Rodriguez,155 lbs.,"6' 0"""
Daniel Sarafian,185 lbs.,"5' 9"""
Daniel Schmitt,185 lbs.,
Daniel Spitz,245 lbs.,"6' 7"""
Daniel Spohn,205 lbs.,"6' 4"""
Daniel Straus,145 lbs.,"5' 7"""
Daniel Teymur,145 lbs.,"5' 5"""
Daniel Weichel,145 lbs.,"5' 10"""
Danielle Taylor,115 lbs.,"5' 0"""
Danillo Villefort,185 lbs.,"6' 1"""
Danilo Belluardo,155 lbs.,"6' 0"""
Danny Abbadi,155 lbs.,"5' 11"""
Danny Castillo,155 lbs.,"5' 9"""
Danny Davis,170 lbs.,"6' 2"""
Danny Downes,155 lbs.,"6' 0"""
Danny Henry,145 lbs.,"6' 0"""
Danny Martinez,125 lbs.,"5' 6"""
Danny Mitchell,170 lbs.,"6' 2"""
Danny Navarro,155 lbs.,"5' 10"""
Danny Roberts,170 lbs.,"6' 1"""
Dante Rivera,185 lbs.,"6' 1"""
Darko Stosic,205 lbs.,"6' 0"""
Daron Cruickshank,155 lbs.,"5' 8"""
Darrel Gholar,194 lbs.,"5' 8"""
Darrell Horcher,155 lbs.,"5' 10"""
Darrell Montague,125 lbs.,"5' 6"""
Darren Elkins,145 lbs.,"5' 10"""
Darren Stewart,185 lbs.,"6' 0"""
Darren Till,170 lbs.,"6' 0"""
Darren Uyenoyama,125 lbs.,"5' 6"""
Darrill Schoonover,220 lbs.,"6' 2"""
Darrion Caldwell,135 lbs.,"5' 10"""
Darryl Cobb,185 lbs.,"5' 9"""
Dashawn Boatwright,205 lbs.,"6' 0"""
Dashon Johnson,145 lbs.,"5' 7"""
Dave Beneteau,250 lbs.,"6' 2"""
Dave Berry,,
Dave Cochran,155 lbs.,"5' 6"""
Dave Courchaine,170 lbs.,"5' 8"""
Dave Dalgliesh,205 lbs.,"6' 2"""
Dave Galera,135 lbs.,"5' 11"""
Dave Herman,242 lbs.,"6' 4"""
Dave Jansen,155 lbs.,"5' 9"""
Dave Martin,205 lbs.,"6' 0"""
Dave Menne,170 lbs.,"5' 10"""
Dave Phillips,185 lbs.,"6' 0"""
Dave Rickels,155 lbs.,"5' 11"""
Dave Strasser,170 lbs.,"5' 10"""
Dave Terrel,170 lbs.,"5' 8"""
Dave Zitanick,170 lbs.,
Davey Grant,135 lbs.,"5' 8"""
Davi Ramos,155 lbs.,"5' 6"""
David Abbott,265 lbs.,"6' 0"""
David Avellan,185 lbs.,"5' 9"""
David Baron,155 lbs.,"5' 6"""
David Barrios,145 lbs.,"5' 6"""
David Bielkheden,155 lbs.,"5' 10"""
David Blanco,145 lbs.,"5' 7"""
David Branch,185 lbs.,"6' 1"""
David Dodd,200 lbs.,"6' 2"""
David Douglas,155 lbs.,"5' 11"""
David Gardner,155 lbs.,"5' 11"""
David Gomez,155 lbs.,
David Heath,205 lbs.,"5' 11"""
David Hood,200 lbs.,"6' 0"""
David Hulett,170 lbs.,"5' 10"""
David Kaplan,155 lbs.,"5' 7"""
David Lee,155 lbs.,"5' 10"""
David Levicki,275 lbs.,"6' 5"""
David Loiseau,185 lbs.,"6' 0"""
David Marshall,170 lbs.,"6' 2"""
David Michaud,155 lbs.,"5' 9"""
David Mitchell,170 lbs.,"6' 0"""
David Rasouli,155 lbs.,"5' 7"""
David Roberts,170 lbs.,"6' 1"""
David Smith,155 lbs.,
David Terrell,185 lbs.,"6' 1"""
David Teymur,155 lbs.,"5' 9"""
David Velasquez,145 lbs.,"5' 5"""
David Zawada,170 lbs.,"6' 0"""
Dayana Silva,135 lbs.,"5' 7"""
DeAnna Bennett,125 lbs.,"5' 4"""
DeMarco Villalona,185 lbs.,"5' 9"""
Dean Hancock,155 lbs.,
Dean Lister,185 lbs.,"6' 1"""
Deiveson Figueiredo,125 lbs.,"5' 5"""
Deividas Taurosevicius,145 lbs.,"5' 9"""
Del Hawkins,135 lbs.,"5' 5"""
Delson Heleno,185 lbs.,"5' 11"""
Demetrious Johnson,125 lbs.,"5' 3"""
Demetrius Gioulacos,185 lbs.,"5' 11"""
Demian Maia,170 lbs.,"6' 1"""
Denis Kang,185 lbs.,"5' 11"""
Denis Sobolev,216 lbs.,"6' 3"""
Denis Stojnic,245 lbs.,"6' 0"""
Dennis Bermudez,155 lbs.,"5' 6"""
Dennis Bryant,205 lbs.,"6' 0"""
Dennis Dombrow,145 lbs.,
Dennis Hallman,155 lbs.,"5' 9"""
Dennis Olson,170 lbs.,"6' 0"""
Dennis Reed,205 lbs.,
Dennis Siver,145 lbs.,"5' 6"""
Derek Anderson,155 lbs.,"6' 0"""
Derek Bohi,260 lbs.,"6' 4"""
Derek Brunson,185 lbs.,"6' 1"""
Derek Campos,155 lbs.,"5' 9"""
Derek Downey,185 lbs.,"6' 1"""
Derek Getzel,155 lbs.,"6' 0"""
Deron Winn,185 lbs.,"5' 6"""
Derrick Burnsed,155 lbs.,
Derrick Krantz,170 lbs.,"5' 10"""
Derrick Lewis,260 lbs.,"6' 3"""
Derrick Mehmen,205 lbs.,"6' 4"""
Derrick Noble,170 lbs.,"5' 9"""
Deshaun Johnson,167 lbs.,
Desmond Green,155 lbs.,"5' 10"""
Devin Clark,205 lbs.,"6' 0"""
Devin Cole,240 lbs.,"6' 4"""
Devin Johnson,,
Devin Powell,155 lbs.,"6' 0"""
Devonte Smith,155 lbs.,"5' 9"""
Dewey Cooper,205 lbs.,
Dhafir Harris,257 lbs.,
Dhiego Lima,170 lbs.,"6' 2"""
Diana Belbita,135 lbs.,"5' 7"""
Diego Brandao,145 lbs.,"5' 7"""
Diego Ferreira,155 lbs.,"5' 9"""
Diego Henrique da Silva,185 lbs.,"6' 2"""
Diego Nunes,145 lbs.,"5' 6"""
Diego Rivas,145 lbs.,"5' 8"""
Diego Sanchez,170 lbs.,"5' 10"""
Diego Saraiva,155 lbs.,"5' 6"""
Dieusel Berto,200 lbs.,"5' 9"""
Dileno Lopes,135 lbs.,"5' 5"""
Dillon Smith,170 lbs.,"6' 0"""
Dimitiri Wanderley,205 lbs.,
Din Thomas,155 lbs.,"5' 9"""
Dino Pezao,205 lbs.,
Dion Staring,235 lbs.,"6' 1"""
Dmitri Stepanov,217 lbs.,"6' 3"""
Dmitrii Smoliakov,253 lbs.,"6' 2"""
Dmitry Poberezhets,237 lbs.,"6' 3"""
Dmitry Sosnovskiy,240 lbs.,"6' 3"""
Dokonjonosuke Mishima,155 lbs.,"5' 7"""
Dom Pilarte,135 lbs.,"6' 0"""
Dominic Brown,190 lbs.,"5' 11"""
Dominic Clark,155 lbs.,"5' 10"""
Dominic Waters,170 lbs.,"6' 1"""
Dominick Cruz,135 lbs.,"5' 8"""
Dominick Reyes,205 lbs.,"6' 4"""
Dominique Steele,170 lbs.,"5' 10"""
Don Carlo-Clauss,170 lbs.,
Don Frye,219 lbs.,"6' 1"""
Don Madge,155 lbs.,"6' 0"""
Don'Tale Mayes,260 lbs.,"6' 6"""
Donald Cerrone,155 lbs.,"6' 1"""
Donald Sanchez,145 lbs.,"5' 10"""
Donavon Frelow,135 lbs.,"5' 7"""
Dong Hyun Kim,170 lbs.,"6' 2"""
Dong Hyun Ma,155 lbs.,"5' 11"""
Dong Sik Yoon,185 lbs.,"6' 0"""
Dongi Yang,185 lbs.,"5' 10"""
Donnie Chappell,178 lbs.,"5' 11"""
Donnie Liles,170 lbs.,"5' 9"""
Donny Walker,135 lbs.,"5' 9"""
Dooho Choi,145 lbs.,"5' 10"""
Dorian Price,170 lbs.,"6' 3"""
Dos Caras Jr.,225 lbs.,"6' 4"""
Doug Evans,155 lbs.,"5' 9"""
Doug Kay,,
Doug Marshall,205 lbs.,"5' 10"""
Douglas Lima,170 lbs.,"6' 1"""
Douglas Silva de Andrade,135 lbs.,"5' 7"""
Drakkar Klose,155 lbs.,"5' 9"""
Drew Brokenshire,,
Drew Dimanlig,185 lbs.,
Drew Dober,155 lbs.,"5' 8"""
Drew Fickett,155 lbs.,"5' 10"""
Drew McFedries,185 lbs.,"6' 0"""
Drew Pendleton,145 lbs.,
Duane Ludwig,170 lbs.,"5' 10"""
Duda Santana,145 lbs.,"5' 7"""
Dustin Hazelett,170 lbs.,"6' 1"""
Dustin Jacoby,185 lbs.,"6' 4"""
Dustin Kimura,135 lbs.,"5' 7"""
Dustin Moore,125 lbs.,"5' 4"""
Dustin Neace,145 lbs.,"5' 9"""
Dustin Ortiz,125 lbs.,"5' 5"""
Dustin Pague,135 lbs.,"5' 9"""
Dustin Poirier,155 lbs.,"5' 9"""
Dustin West,170 lbs.,"5' 11"""
Dwayne Cason,212 lbs.,"5' 10"""
Dwight Grant,170 lbs.,"6' 1"""
Dylan Andrews,185 lbs.,"6' 1"""
Ebenezer Fontes Braga,199 lbs.,"6' 0"""
Ed Herman,205 lbs.,"6' 1"""
Ed Ratcliff,155 lbs.,"5' 10"""
Eddie Alvarez,155 lbs.,"5' 9"""
Eddie Gordon,185 lbs.,"6' 0"""
Eddie Mendez,185 lbs.,"5' 10"""
Eddie Ruiz,155 lbs.,"5' 7"""
Eddie Sanchez,230 lbs.,"6' 2"""
Eddie Wineland,135 lbs.,"5' 7"""
Eddie Yagin,145 lbs.,"5' 7"""
Eddy Ellis,170 lbs.,"5' 9"""
Eddy Millis,185 lbs.,"6' 1"""
Edgar Cardenas,145 lbs.,
Edgar Garcia,170 lbs.,"5' 10"""
Edilberto de Oliveira,170 lbs.,"6' 0"""
Edmen Shahbazyan,185 lbs.,"6' 2"""
Ednaldo Oliveira,205 lbs.,"6' 5"""
Edson Barboza,155 lbs.,"5' 11"""
Edson Berto,155 lbs.,"5' 6"""
Edson Drago,220 lbs.,"6' 4"""
Edson Silva,205 lbs.,
Eduardo Bustillos,135 lbs.,"5' 8"""
Eduardo Dantas,135 lbs.,"5' 10"""
Eduardo Pamplona,170 lbs.,"5' 11"""
Edward Faaloloto,155 lbs.,
Edwin Aguilar,185 lbs.,"5' 10"""
Edwin DeWees,185 lbs.,"6' 1"""
Edwin Figueroa,135 lbs.,"5' 7"""
Efrain Escudero,155 lbs.,"5' 9"""
Egan Inoue,190 lbs.,"5' 9"""
Egidijus Valavicius,200 lbs.,"6' 0"""
Eiji Ishikawa,170 lbs.,"5' 10"""
Eiji Mitsuoka,145 lbs.,"5' 7"""
Elaina Maxwell,145 lbs.,"5' 8"""
Eldari Kurtanidze,235 lbs.,"5' 6"""
Eldo Xavier Dias,180 lbs.,"5' 11"""
Eli Tamez,135 lbs.,"5' 7"""
Elias Garcia,125 lbs.,"5' 5"""
Elias Silverio,155 lbs.,"5' 11"""
Elias Theodorou,185 lbs.,"6' 1"""
Elias Urbina,185 lbs.,"6' 3"""
Eliot Marshall,205 lbs.,"6' 2"""
Elisha Helsper,135 lbs.,"5' 6"""
Elizabeth Phillips,135 lbs.,"5' 6"""
Elizeu Zaleski dos Santos,170 lbs.,"5' 11"""
Elvis Mutapcic,185 lbs.,"6' 0"""
Elvis Sinosic,205 lbs.,"6' 3"""
Emanuel Newton,205 lbs.,"6' 1"""
Emil Meek,170 lbs.,"5' 11"""
Emiliano Sordi,205 lbs.,"6' 2"""
Emilio Chavez,145 lbs.,"5' 9"""
Emily Peters Kagan,115 lbs.,"5' 3"""
Emily Whitmire,115 lbs.,"5' 5"""
Emmanuel Sanchez,145 lbs.,"5' 9"""
Emmanuel Yarborough,770 lbs.,"6' 8"""
Enrique Barzola,145 lbs.,"5' 7"""
Enrique Marin,170 lbs.,"5' 10"""
Enrique Watson,185 lbs.,
Enson Inoue,210 lbs.,"5' 10"""
Eric Bedard,239 lbs.,"6' 2"""
Eric Castile,145 lbs.,"5' 8"""
Eric Esch,350 lbs.,"5' 11"""
Eric Galvan,155 lbs.,
Eric Irvin,155 lbs.,"5' 8"""
Eric Jacob,155 lbs.,
Eric Lawson,185 lbs.,"6' 0"""
Eric Magana,,
Eric Martin,,
Eric Schafer,185 lbs.,"6' 3"""
Eric Schambari,185 lbs.,"5' 11"""
Eric Schwartz,205 lbs.,
Eric Shelton,125 lbs.,"5' 6"""
Eric Smith,,
Eric Spicely,185 lbs.,"6' 1"""
Eric Steenberg,155 lbs.,
Eric Wisely,145 lbs.,"5' 8"""
Eric Wray,170 lbs.,"6' 0"""
Erick Montano,170 lbs.,"6' 0"""
Erick Sanchez,145 lbs.,"5' 10"""
Erick Silva,170 lbs.,"6' 0"""
Erick Wanderlei,205 lbs.,"6' 1"""
Ericka Almeida,115 lbs.,"5' 6"""
Erik Apple,170 lbs.,"6' 0"""
Erik Koch,155 lbs.,"5' 10"""
Erik Perez,135 lbs.,"5' 8"""
Ernest Chavez,145 lbs.,"5' 8"""
Ernie Verdicia,199 lbs.,"5' 11"""
Errol Zimmerman,185 lbs.,"6' 3"""
Eryk Anders,185 lbs.,"6' 1"""
Estefani Almeida,125 lbs.,"5' 4"""
Estevan Payan,145 lbs.,"5' 10"""
Eugene Jackson,185 lbs.,"5' 8"""
Eugenio Tadeu,160 lbs.,"5' 8"""
Eun Soo Lee,215 lbs.,"6' 1"""
Evan Dunham,155 lbs.,"5' 10"""
Evan Esguerra,145 lbs.,
Evan Tanner,185 lbs.,"6' 0"""
Evangelista Santos,170 lbs.,"5' 10"""
Everett Cummings,205 lbs.,
Everett Sims,260 lbs.,"6' 5"""
Ewerton Teixeira,242 lbs.,"6' 1"""
Fabian Gonzalez,135 lbs.,"5' 10"""
Fabiano Iha,155 lbs.,"5' 8"""
Fabiano Scherner,257 lbs.,"6' 3"""
Fabio Cherant,205 lbs.,
Fabio Gurgel,205 lbs.,"6' 0"""
Fabio Maldonado,205 lbs.,"6' 1"""
Fabio Mello,155 lbs.,"5' 5"""
Fabio Nascimento,185 lbs.,"5' 10"""
Fabio Silva,205 lbs.,"5' 11"""
Fabricio Camoes,155 lbs.,"5' 10"""
Fabricio Guerreiro,145 lbs.,"5' 10"""
Fabricio Werdum,231 lbs.,"6' 4"""
Falaniko Vitale,185 lbs.,"5' 10"""
Fazlo Mulabitinovic,135 lbs.,
Federico Lopez,139 lbs.,"5' 4"""
Fedor Emelianenko,230 lbs.,"6' 0"""
Felice Herrig,115 lbs.,"5' 4"""
Felicia Spencer,145 lbs.,"5' 6"""
Felipe Arantes,135 lbs.,"5' 8"""
Felipe Colares,135 lbs.,"5' 9"""
Felipe Olivieri,155 lbs.,"5' 9"""
Felipe Portela,170 lbs.,
Felipe Silva,155 lbs.,"6' 0"""
Felix Lee Mitchell,,
Fernando Bettega,170 lbs.,
Fernando Bruno,145 lbs.,"5' 6"""
Fernando Gonzalez,170 lbs.,"5' 9"""
Filip Pejic,135 lbs.,"5' 8"""
Fiona Muxlow,145 lbs.,"5' 4"""
Flavio Luiz Moura,183 lbs.,"5' 11"""
Floyd Sword,185 lbs.,"6' 0"""
Forrest Griffin,205 lbs.,"6' 3"""
Forrest Petz,170 lbs.,"5' 9"""
Francesco Maturi,,
Francimar Barroso,205 lbs.,"6' 1"""
Francis Carmont,205 lbs.,"6' 3"""
Francis Ngannou,250 lbs.,"6' 4"""
Francisco Bueno,225 lbs.,"5' 9"""
Francisco France,205 lbs.,"6' 0"""
Francisco Rivera,135 lbs.,"5' 8"""
Francisco Trevino,155 lbs.,"5' 9"""
Francisco Trinaldo,155 lbs.,"5' 9"""
Francois Botha,260 lbs.,"6' 2"""
Frank Camacho,170 lbs.,"5' 10"""
Frank Caracci,,
Frank Gomez,135 lbs.,"5' 10"""
Frank Hamaker,,
Frank Lester,170 lbs.,"5' 11"""
Frank Megallon,185 lbs.,"5' 10"""
Frank Mir,264 lbs.,"6' 3"""
Frank Shamrock,185 lbs.,"5' 10"""
Frank Trigg,170 lbs.,"5' 9"""
Frankie Edgar,145 lbs.,"5' 6"""
Frankie Perez,155 lbs.,"5' 11"""
Frankie Saenz,135 lbs.,"5' 6"""
Fred Ettish,180 lbs.,"6' 0"""
Frederick Brown,235 lbs.,"6' 0"""
Fredson Paixao,145 lbs.,"5' 6"""
Fredy Serrano,125 lbs.,"5' 3"""
Gabe Lemley,155 lbs.,"5' 8"""
Gabe Ruediger,155 lbs.,"5' 10"""
Gabriel Benitez,145 lbs.,"5' 8"""
Gabriel Carrasco,135 lbs.,"5' 6"""
Gabriel Checco,185 lbs.,"6' 1"""
Gabriel Gonzaga,242 lbs.,"6' 2"""
Gabriel Miglioli,170 lbs.,"5' 8"""
Gabriel Salinas-Jones,245 lbs.,"6' 1"""
Gabriel Silva,135 lbs.,"5' 6"""
Gabrielle Holloway,145 lbs.,"5' 3"""
Gadzhimurad Antigulov,205 lbs.,"5' 11"""
Galore Bofando,170 lbs.,"5' 11"""
Gan McGee,265 lbs.,"6' 10"""
Gareth Joseph,205 lbs.,
Garett Whiteley,155 lbs.,"6' 0"""
Garreth McLellan,185 lbs.,"6' 1"""
Garrett Gross,155 lbs.,"5' 9"""
Garrett Mueller,135 lbs.,"5' 9"""
Gary Frazier,245 lbs.,"6' 0"""
Gary Goodridge,249 lbs.,"6' 3"""
Gary Padilla,205 lbs.,"5' 11"""
Gary Quan,143 lbs.,"5' 8"""
Gary Tapusoa,185 lbs.,"5' 7"""
Gasan Umalatov,170 lbs.,"5' 11"""
Gaston Reyno,145 lbs.,"6' 0"""
Gavin Tucker,145 lbs.,"5' 6"""
Geane Herrera,125 lbs.,"5' 5"""
Gegard Mousasi,185 lbs.,"6' 2"""
Genki Sudo,155 lbs.,"5' 9"""
Gennaro Strangis,,
Geoff Neal,170 lbs.,"5' 11"""
George Allen,205 lbs.,"6' 2"""
George Bush,205 lbs.,"6' 1"""
George Pacurariu,135 lbs.,"5' 7"""
George Roop,135 lbs.,"6' 1"""
George Sotiropoulos,155 lbs.,"5' 10"""
George Stork,185 lbs.,"5' 10"""
George Sullivan,170 lbs.,"6' 0"""
George Zuniga,185 lbs.,"5' 9"""
Georges St-Pierre,185 lbs.,"5' 11"""
Georgi Karakhanyan,145 lbs.,"5' 8"""
Gerald Harris,185 lbs.,"5' 11"""
Gerald Meerschaert,185 lbs.,"6' 1"""
Gerald Strebendt,155 lbs.,"5' 9"""
Geraldo de Freitas,135 lbs.,"5' 9"""
Gerard Gordeau,216 lbs.,"6' 5"""
Germaine de Randamie,135 lbs.,"5' 9"""
Geronimo dos Santos,264 lbs.,"6' 3"""
Gerric Hayes,,"5' 10"""
Gerry Harris,270 lbs.,"6' 8"""
Gesias Cavalcante,155 lbs.,"5' 8"""
Geza Kalman,200 lbs.,"6' 1"""
Giacomo Lemos,255 lbs.,"6' 3"""
Gian Villante,205 lbs.,"6' 3"""
Gideon Ray,185 lbs.,"5' 10"""
Giga Chikadze,145 lbs.,"6' 0"""
Gil Castillo,170 lbs.,"5' 9"""
Gilbert Aldana,250 lbs.,"6' 1"""
Gilbert Burns,155 lbs.,"5' 10"""
Gilbert Jimenez,155 lbs.,
Gilbert Melendez,145 lbs.,"5' 9"""
Gilbert Rael,155 lbs.,"5' 8"""
Gilbert Smith,185 lbs.,"5' 9"""
Gilbert Yvel,225 lbs.,"6' 2"""
Gilles Arsene,190 lbs.,"5' 9"""
Gillian Robertson,125 lbs.,"5' 5"""
Gina Carano,145 lbs.,"5' 8"""
Gina Mazany,135 lbs.,"5' 6"""
Gisele Moreira,135 lbs.,"5' 6"""
Glaico Franca,155 lbs.,"6' 0"""
Gleidson Cutis,155 lbs.,"5' 9"""
Gleison Tibau,155 lbs.,"5' 10"""
Gleristone Santos,145 lbs.,"5' 9"""
Glover Teixeira,205 lbs.,"6' 2"""
Godofredo Pepey,145 lbs.,"5' 7"""
Goiti Yamauchi,145 lbs.,"5' 10"""
Gokhan Saki,205 lbs.,"6' 0"""
Goldman Butler,,
Goran Reljic,205 lbs.,"6' 3"""
Grant Dawson,145 lbs.,"5' 10"""
Gray Maynard,155 lbs.,"5' 9"""
Greg Hardy,265 lbs.,"6' 5"""
Greg McIntyre,155 lbs.,"5' 10"""
Greg Nagy,210 lbs.,"6' 1"""
Greg Rebello,240 lbs.,"6' 0"""
Greg Scott,145 lbs.,"5' 9"""
Greg Soto,170 lbs.,"5' 11"""
Greg Stott,220 lbs.,"5' 7"""
Greg Wilson,155 lbs.,
Gregor Gillespie,155 lbs.,"5' 7"""
Gregory Bouchelaghem,183 lbs.,"6' 2"""
Grigorii Popov,135 lbs.,"5' 7"""
Guido Cannetti,135 lbs.,"5' 6"""
Guilherme Costa,155 lbs.,
Guilherme Vasconcelos,185 lbs.,"6' 0"""
Guilherme Viana,205 lbs.,"6' 4"""
Gunnar Nelson,170 lbs.,"5' 11"""
Gustavo Gabriel,125 lbs.,"5' 6"""
Guto Inocente,205 lbs.,"6' 3"""
Guy Mezger,200 lbs.,"6' 1"""
Hacran Dias,155 lbs.,"5' 8"""
Hakeem Dawodu,145 lbs.,"5' 8"""
Han Ten Yun,220 lbs.,"5' 11"""
Hannah Cifers,115 lbs.,"5' 1"""
Hannah Goldy,115 lbs.,"5' 4"""
Hans Nijman,250 lbs.,"6' 0"""
Hans Stringer,205 lbs.,"6' 3"""
Harold Howard,240 lbs.,"6' 2"""
Harris Sarmiento,155 lbs.,"5' 9"""
Harry Moskowitz,275 lbs.,"6' 5"""
Hatsu Hioki,145 lbs.,"5' 11"""
Haven Torres,125 lbs.,
Hayato Sakurai,168 lbs.,"5' 7"""
