fighter_name,Weight,Height
Alfred Khashakyan,135 lbs.,"5' 8"""
Ali Bagautinov,125 lbs.,"5' 4"""
Aliev Makhmud,195 lbs.,"5' 6"""
Alistair Overeem,265 lbs.,"6' 4"""
Aljamain Sterling,135 lbs.,"5' 7"""
Allan Goes,205 lbs.,"6' 0"""
Allan Nascimento,125 lbs.,"5' 9"""
Allan Zuniga,155 lbs.,"5' 7"""
Allen Berube,155 lbs.,"5' 8"""
Allen Crowder,245 lbs.,"6' 3"""
Alonzo Martinez,155 lbs.,"5' 10"""
Alonzo Menifield,205 lbs.,"6' 0"""
Alptekin Ozkilic,125 lbs.,"5' 5"""
Alton Cunningham,205 lbs.,"6' 2"""
Alton Meeks,265 lbs.,"6' 5"""
Alvaro Herrera,155 lbs.,"6' 0"""
Alvin Cacdac,125 lbs.,"5' 6"""
Alvin Robinson,155 lbs.,"5' 9"""
Amador Ramirez,135 lbs.,
Amanda Cooper,115 lbs.,"5' 3"""
Amanda Lemos,135 lbs.,"5' 4"""
Amanda Nunes,145 lbs.,"5' 8"""
Amanda Ribas,115 lbs.,"5' 4"""
Amar Suloev,183 lbs.,"5' 9"""
Amaury Bitetti,185 lbs.,"5' 9"""
Amber Tackett,115 lbs.,
Amilcar Alves,170 lbs.,"6' 0"""
Amir Aliakbari,250 lbs.,"6' 3"""
Amir Rahnavardi,205 lbs.,"6' 0"""
Amir Sadollah,170 lbs.,"5' 10"""
An Ying Wang,170 lbs.,"6' 0"""
Anatoly Tokov,185 lbs.,"5' 10"""
Anderson Dos Santos,135 lbs.,"5' 5"""
Anderson Silva,185 lbs.,"6' 2"""
Andre Amado,154 lbs.,"6' 0"""
Andre Ewell,135 lbs.,"5' 8"""
Andre Fili,145 lbs.,"5' 11"""
Andre Galvao,168 lbs.,"5' 7"""
Andre Gusmao,205 lbs.,"6' 0"""
Andre Muniz,185 lbs.,"6' 2"""
Andre Mussi,242 lbs.,"6' 3"""
Andre Pederneiras,155 lbs.,"5' 8"""
Andre Roberts,345 lbs.,"6' 2"""
Andre Santos,170 lbs.,"6' 0"""
Andre Soukhamthath,135 lbs.,"5' 9"""
Andre Walker,205 lbs.,"5' 11"""
Andre Winner,155 lbs.,"5' 11"""
Andrea Lee,125 lbs.,"5' 6"""
Andreas Spang,185 lbs.,"6' 1"""
Andreas Stahl,170 lbs.,"5' 11"""
Andrei Arlovski,240 lbs.,"6' 3"""
Andrei Kopylov,265 lbs.,"6' 2"""
Andrei Semenov,185 lbs.,"6' 0"""
Andrew Craig,170 lbs.,"6' 1"""
Andrew Holbrook,155 lbs.,"5' 11"""
Andrew Montanez,185 lbs.,
Andrew Ramm,160 lbs.,"6' 1"""
Andrew Sanchez,185 lbs.,"6' 1"""
Andrew Todhunter,185 lbs.,"6' 0"""
Andrew Valladerez,135 lbs.,
Andrews Nakahara,185 lbs.,"6' 1"""
Andrey Koreshkov,170 lbs.,"6' 0"""
Andy Anderson,240 lbs.,"5' 6"""
Andy Enz,185 lbs.,"6' 3"""
Andy Murad,185 lbs.,"5' 9"""
Andy Ogle,145 lbs.,"5' 8"""
Andy Ologun,154 lbs.,"6' 0"""
Andy Uhrich,170 lbs.,"6' 0"""
Andy Wang,155 lbs.,"5' 6"""
Andy Waters,170 lbs.,"6' 0"""
Angel De Anda,225 lbs.,"5' 9"""
Angela Hill,115 lbs.,"5' 3"""
Angela Magana,115 lbs.,"5' 1"""
Angelo Antonio,205 lbs.,
Angelo Trevino,170 lbs.,"5' 11"""
Anistavio Medeiros,145 lbs.,"5' 6"""
Anna Elmose,115 lbs.,"5' 3"""
Ansar Chalangov,170 lbs.,"5' 9"""
Anthony Adams,185 lbs.,"6' 0"""
Anthony Alves,,
Anthony Avila,145 lbs.,"5' 7"""
Anthony Birchak,135 lbs.,"5' 8"""
Anthony Christodoulou,155 lbs.,"5' 9"""
Anthony Do,125 lbs.,"5' 4"""
Anthony Figueroa,135 lbs.,"5' 4"""
Anthony Hamilton,260 lbs.,"6' 5"""
Anthony Hernandez,185 lbs.,"6' 0"""
Anthony Johnson,205 lbs.,"6' 2"""
Anthony Lapsley,170 lbs.,"5' 9"""
Anthony Leone,135 lbs.,"5' 6"""
Anthony Macias,185 lbs.,"5' 9"""
Anthony Morrison,145 lbs.,"5' 7"""
Anthony Njokuani,155 lbs.,"6' 1"""
Anthony Perosh,205 lbs.,"6' 3"""
Anthony Pettis,170 lbs.,"5' 10"""
Anthony Rocco Martin,170 lbs.,"6' 0"""
Anthony Ruiz,205 lbs.,"6' 2"""
Anthony Smith,205 lbs.,"6' 4"""
Anthony Taylor,145 lbs.,"5' 7"""
Anthony Torres,170 lbs.,"5' 8"""
Anton Berzin,205 lbs.,"6' 2"""
Anton Kuivanen,155 lbs.,"5' 8"""
Anton Zafir,170 lbs.,"5' 11"""
Antoni Hardonk,245 lbs.,"6' 4"""
Antonina Shevchenko,125 lbs.,"5' 8"""
Antonio Arroyo,185 lbs.,"6' 0"""
Antonio Banuelos,135 lbs.,"5' 5"""
Antonio Braga Neto,185 lbs.,"6' 3"""
Antonio Carlos Junior,185 lbs.,"6' 2"""
Antonio Carvalho,145 lbs.,"5' 9"""
Antonio Dos Santos,185 lbs.,"5' 10"""
Antonio Duarte,135 lbs.,"5' 7"""
Antonio Jones,185 lbs.,"5' 11"""
Antonio McKee,155 lbs.,"5' 8"""
Antonio Mendes,205 lbs.,"6' 3"""
Antonio Schembri,205 lbs.,"5' 9"""
Antonio Silva,264 lbs.,"6' 4"""
Antonio Trocoli,205 lbs.,"6' 5"""
Antony Rea,205 lbs.,"6' 0"""
Antwain Britt,205 lbs.,"6' 1"""
Ariane Lipski,125 lbs.,"5' 3"""
Ariel Beck,125 lbs.,"5' 6"""
Ariel Gandulla,205 lbs.,"5' 11"""
Arjan Bhullar,245 lbs.,"6' 1"""
